title,clean_title,original_title,genres,director,release_year,runtime,budget,revenue,popularity,tmdb_rating,tmdb_votes,imdb_rating,imdb_votes,language,tmdb_id,imdb_id,doesthedog_id
Bad Boys for Life,bad boys for life,Bad Boys for Life,"thriller, action, crime","Bilall Fallah, Adil El Arbi",2020,124,90000000,426505244,67.7,7.1,8251,6.5,186716,English,38700,tt1502397,
Avatar: The Way of Water,avatar the way of water,Avatar: The Way of Water,"science fiction, adventure, action",James Cameron,2022,192,460000000,2320250281,158.5,7.6,11946,7.5,518001,English,76600,tt1630029,
Pet Sematary,pet sematary,Pet Sematary,"horror, thriller","Dennis Widmyer, Kevin Kölsch",2019,100,21000000,113118226,26.1,5.7,3186,5.7,100618,English,157433,tt0837563,
How to Train Your Dragon: The Hidden World,how to train your dragon the hidden world,How to Train Your Dragon: The Hidden World,"animation, family, adventure",Dean DeBlois,2019,104,129000000,524580592,207.5,7.8,6381,7.4,158269,English,166428,tt2386490,
Star Wars: The Rise of Skywalker,star wars the rise of skywalker,Star Wars: The Rise of Skywalker,"adventure, action, science fiction",J.J. Abrams,2019,142,416000000,1074144248,63.2,6.3,9886,6.4,507321,English,181812,tt2527338,
The King's Daughter,the kings daughter,The King's Daughter,"fantasy, adventure, family",Sean McNamara,2022,94,40500000,2200000,30.1,7.1,676,5.2,6505,English,245842,tt2328678,
The Canterville Ghost,the canterville ghost,The Canterville Ghost,"animation, comedy, family, fantasy",Kim Burdon,2023,89,10000000,2000000,69.0,6.6,21,6.0,1422,English,269509,tt2403439,
The Lego Movie 2: The Second Part,the lego movie 2 the second part,The Lego Movie 2: The Second Part,"action, adventure, animation, comedy, family",Mike Mitchell,2019,107,99000000,199603202,52.1,6.7,2183,6.5,79382,English,280217,tt3513498,
Evangelion: 3.0+1.0 Thrice Upon a Time,evangelion 3010 thrice upon a time,シン・エヴァンゲリオン劇場版:||,"animation, action, science fiction, drama","Hideaki Anno, Katsuichi Nakayama, Mahiro Maeda, Kazuya Tsurumaki",2021,155,29700000,93882453,27.4,8.2,812,8.0,15300,Japanese,283566,tt2458948,
Shazam!,shazam,Shazam!,"action, comedy, fantasy",David F. Sandberg,2019,132,80000000,367799011,42.5,7.0,9445,7.0,394066,English,287947,tt0448115,
Terminator: Dark Fate,terminator dark fate,Terminator: Dark Fate,"science fiction, action, adventure",Tim Miller,2019,128,185000000,261119292,39.9,6.4,5079,6.2,198409,English,290859,tt6450804,
The Death & Life of John F. Donovan,the death  life of john f donovan,The Death & Life of John F. Donovan,drama,Xavier Dolan,2019,123,35000000,3326364,9.4,6.9,688,6.1,7922,English,291984,tt4042818,
Richard Jewell,richard jewell,Richard Jewell,drama,Clint Eastwood,2019,131,45000000,33900000,18.2,7.4,2485,7.5,100738,English,292011,tt3513548,
The Flash,the flash,The Flash,"adventure, action, science fiction",Andy Muschietti,2023,144,220000000,271333313,87.8,6.7,4265,6.6,224488,English,298618,tt0439572,
Expend4bles,expend4bles,Expend4bles,"action, adventure, thriller",Scott Waugh,2023,103,100000000,37917985,175.0,6.2,1536,4.8,46651,English,299054,tt3291150,
Avengers: Endgame,avengers endgame,Avengers: Endgame,"adventure, science fiction, action","Anthony Russo, Joe Russo",2019,181,356000000,2799439100,124.2,8.2,25662,8.4,1315965,English,299534,tt4154796,
Captain Marvel,captain marvel,Captain Marvel,"action, adventure, science fiction","Ryan Fleck, Anna Boden",2019,124,152000000,1131416446,43.5,6.8,15671,6.8,625546,English,299537,tt4154664,
Toy Story 4,toy story 4,Toy Story 4,"family, adventure, animation, comedy, fantasy",Josh Cooley,2019,100,175000000,1073841394,95.7,7.5,9734,7.6,290469,English,301528,tt1979376,
Iron Sky: The Coming Race,iron sky the coming race,Iron Sky: The Coming Race,"action, comedy, fantasy, science fiction",Timo Vuorensola,2019,93,21000000,400900,14.7,5.1,396,5.0,12055,English,302349,tt3038708,
Puss in Boots: The Last Wish,puss in boots the last wish,Puss in Boots: The Last Wish,"animation, adventure, fantasy, comedy, family",Joel Crawford,2022,103,90000000,484700000,152.6,8.2,7779,7.8,191841,English,315162,tt3915174,
Dark Phoenix,dark phoenix,Dark Phoenix,"science fiction, action, adventure",Simon Kinberg,2019,114,200000000,252442974,44.6,6.0,6503,5.7,213842,English,320288,tt6565702,
Dumbo,dumbo,Dumbo,"family, fantasy, adventure",Tim Burton,2019,112,170000000,353284621,32.5,6.6,4301,6.3,84354,English,329996,tt3861390,
Frozen II,frozen ii,Frozen II,"family, animation, adventure, comedy, fantasy","Chris Buck, Jennifer Lee",2019,103,150000000,1453683476,87.2,7.3,9701,6.8,201916,English,330457,tt4520988,
Little Women,little women,Little Women,"drama, romance, history",Greta Gerwig,2019,135,40000000,216600000,38.7,7.9,6253,7.8,257724,English,331482,tt3281548,
Uncharted,uncharted,Uncharted,"action, adventure",Ruben Fleischer,2022,116,120000000,407141258,51.7,6.9,5958,6.3,272085,English,335787,tt1464335,
Indiana Jones and the Dial of Destiny,indiana jones and the dial of destiny,Indiana Jones and the Dial of Destiny,"adventure, action",James Mangold,2023,155,294700000,383963057,82.0,6.6,3383,6.5,212086,English,335977,tt1462764,
Mulan,mulan,Mulan,"adventure, fantasy, action, family",Niki Caro,2020,115,200000000,69965374,60.4,6.9,6619,5.8,161749,English,337401,tt4566758,
Cruella,cruella,Cruella,"comedy, crime, family, adventure",Craig Gillespie,2021,134,200000000,233503234,80.3,8.0,9310,7.3,274939,English,337404,tt3228774,
Bloodshot,bloodshot,Bloodshot,"action, science fiction, adventure",Dave Wilson,2020,110,42000000,39861118,26.6,6.7,4925,5.7,86988,English,338762,tt1634106,
Fantastic Beasts: The Secrets of Dumbledore,fantastic beasts the secrets of dumbledore,Fantastic Beasts: The Secrets of Dumbledore,"fantasy, adventure",David Yates,2022,142,200000000,407200000,67.3,6.7,4463,6.2,178751,English,338953,tt4123432,
Zombieland: Double Tap,zombieland double tap,Zombieland: Double Tap,"comedy, horror",Ruben Fleischer,2019,99,42000000,122800000,35.9,6.9,5668,6.7,210798,English,338967,tt1560220,
The New Mutants,the new mutants,The New Mutants,"science fiction, horror, action",Josh Boone,2020,94,67000000,49169594,29.5,6.1,3407,5.3,93932,English,340102,tt4682266,
Barbie,barbie,Barbie,"comedy, adventure",Greta Gerwig,2023,114,145000000,1445638421,236.2,7.0,9209,6.8,578242,English,346698,tt1517268,
About Endlessness,about endlessness,Om det oändliga,"drama, fantasy",Roy Andersson,2019,78,4700000,434977,7.3,6.5,177,6.8,8102,Swedish,348672,tt6817944,
Ford v Ferrari,ford v ferrari,Ford v Ferrari,"drama, action, history",James Mangold,2019,153,97600000,225508210,62.7,8.0,7937,8.1,503615,English,359724,tt1950186,
Top Gun: Maverick,top gun maverick,Top Gun: Maverick,"action, drama",Joseph Kosinski,2022,131,170000000,1488732821,209.2,8.2,9249,8.2,744095,English,361743,tt1745960,
Borderlands,borderlands,Borderlands,"action, science fiction, comedy",Eli Roth,2024,101,115000000,32978510,362.1,5.8,849,4.6,34895,English,365177,tt4978420,
Ferrari,ferrari,Ferrari,"history, drama",Michael Mann,2023,131,95000000,39220516,92.6,6.4,955,6.4,58572,English,365620,tt3758542,
Playmobil: The Movie,playmobil the movie,Playmobil: The Movie,"family, animation, comedy, adventure",Lino DiSalvo,2019,99,75000000,1630000,33.2,5.6,276,4.9,4851,English,366668,tt4199898,
Paws of Fury: The Legend of Hank,paws of fury the legend of hank,Paws of Fury: The Legend of Hank,"animation, adventure, comedy, family","Chris Bailey, Rob Minkoff, Mark Koetsier",2022,94,45000000,42500000,34.8,6.7,295,5.7,6942,English,366672,tt4428398,
No Time to Die,no time to die,No Time to Die,"action, thriller, adventure",Cary Joji Fukunaga,2021,163,250000000,774153024,72.9,7.4,6253,7.3,457418,English,370172,tt2382320,
Godzilla: King of the Monsters,godzilla king of the monsters,Godzilla: King of the Monsters,"science fiction, action",Michael Dougherty,2019,132,170000000,387300138,48.3,6.7,6151,6.0,215454,English,373571,tt3741700,
Space Jam: A New Legacy,space jam a new legacy,Space Jam: A New Legacy,"family, animation, comedy, science fiction",Malcolm D. Lee,2021,115,150000000,163692228,41.9,6.7,4002,4.5,82529,English,379686,tt3554046,
